"","labels","time","ratio"
"[none].elapsed","[none]",4.226,1
"geometry.elapsed","geometry",3.512,1.2
"see.elapsed","see",0.965,4.38
"util_extra.elapsed","util_extra",2.342,1.8
"geometry + see.elapsed","geometry + see",0.959,4.41
"see + util_extra.elapsed","see + util_extra",0.960999999999999,4.4
"geometry + util_extra.elapsed","geometry + util_extra",2.181,1.94
"geometry + see + util_extra.elapsed","geometry + see + util_extra",0.918000000000003,4.6
"block.elapsed","block",2.776,1.52
"see + block.elapsed","see + block",0.420000000000002,10.06
"see + util_extra + block.elapsed","see + util_extra + block",0.511000000000003,8.27
"geometry + see + util_extra + block.elapsed","geometry + see + util_extra + block",0.453000000000003,9.33
